,YEAR,BOOK,AUTHOR,LANGUAGE,CATEGORY
0,2023,Dr. Pranavjyoti Dekar Srestha Galpa ,Pranavjyoti Deka,ASSAMESE,Short Stories
1,2022,Bhool Satya ,Manoj Kumar Goswami,ASSAMESE,Short Stories
2,2021,Iyat Ekhan Aaronya Asil ,Anuradha Sarma Pujari,ASSAMESE,Novel
3,2020,Bengsata ,Apurba Kumar Saikia,ASSAMESE,Short Stories
4,2019,Chanakya ,Joysree Goswami Mahanta,ASSAMESE,Novel
5,2018,Kailoir Dinto Amar Hobo ,Sananta Tanti,ASSAMESE,Poetry
6,2017,Moriahola ,Jayanta Madhab Bora,ASSAMESE,Novel
7,2016,Meghmalar Bhraman ,Jnan Pujari,ASSAMESE,Poetry
8,2015,Akashar Chhabi Aru Anyanya Galpa ,Kula Saikia,ASSAMESE,Short Stories
9,2014,Mariam Astin Athaba Hira Barua,Arupa Patangia Kalita,ASSAMESE,Short Stories
10,2012,Patkair Ipare Mor Desh ,Chandana Goswami,ASSAMESE,Novel
11,2011,Ei Anuragi Ei Udasi ,Kabin Phukan,ASSAMESE,Poetry
12,2010,Asomiya Ramayani Sahitya: Kathabostur Atiguri ,Keshada Mahanta,ASSAMESE,Criticism
13,2009,Katha Ratnakara ,Dhruba Jyoti Bora,ASSAMESE,Novel
14,2008,Deou Langkhui ,Rita Choudhury,ASSAMESE,Novel
15,2007,Santanukulanandan ,Purabi Bormudoi,ASSAMESE,Novel
16,2006,Cheneh Jorir Ganthi ,Atulananda Goswami,ASSAMESE,Short stories
17,2005,Mouna Ounth Mukhar Hriday ,Yeshe Dorje Thongchi,ASSAMESE,Novel
18,2004,Manuh Anukule ,Hirendra Nath Dutta,ASSAMESE,Poetry
19,2003,Anek Manuh Anek Aru Nirjanata ,Bireswar Barua,ASSAMESE,Poetry
20,2002,Mahat Oitiyya ,Nalinidhar Bhattacharyya,ASSAMESE,Criticism
21,2001,Edhani Mahir Hanhi ,Mahim Bora,ASSAMESE,Novel
22,2000,Baghe Tapur Rati ,Apurba Sarma,ASSAMESE,Short stories
23,1999,Biponna Samay ,Medini Choudhury,ASSAMESE,Novel
24,1998,Asirbadar Rang ,Arun Sarma,ASSAMESE,Novel
25,1997,Andharat Nijar Mukh ,Nagen Saikia,ASSAMESE,Short stories
26,1996,Abhijatri ,Nirupama Borgohain,ASSAMESE,Novel
27,1995,Maharathi ,Chandra Prasad Saikia,ASSAMESE,Novel
28,1994,Madhupur Bahudur ,Sheelbhadra Rabati Mohan Datta Choudhury,ASSAMESE,Short stories
29,1993,Mor Je Kiman Hepah ,Keshav Mahanta,ASSAMESE,Poetry
30,1992,Shaichar Pathar Manuh ,Hiren Bhattacharjya,ASSAMESE,Poetry
31,1991,Brahmaputra Ityadi Padya ,Ajit Barua,ASSAMESE,Poetry
32,1990,Snehadevir Ekuki Galpa ,Sneha Devi,ASSAMESE,Short stories
33,1989,Asamiya Jatiya Jivanata Mahapurushiya Parampara ,Hiren Gohain,ASSAMESE,Literary criticism
34,1988,Patal Bahirabi ,Lakshminandan Bora,ASSAMESE,Novel
35,1987,Aan Ejan ,Harekrishna Deka,ASSAMESE,Poetry
36,1986,Benudhar Sarma ,Tirthanath Sarma,ASSAMESE,Biography
37,1985,Krishna Kanta Handiqui Rachna-Sambhar ,Krishnakanta Handiqui,ASSAMESE,Literary criticism
38,1984,Jangam ,Devendra Nath Acharya,ASSAMESE,Novel
39,1983,Sudirgha Din Aru Ritu ,Nirmalprabha Bardoloi,ASSAMESE,Poetry
40,1982,Mamare Dhara Tarowal Aru Dukhan Upanyasa ,Indira Goswami Mamoni Raisom Goswami,ASSAMESE,Novel
41,1981,Kavita ,Nilamani Phookan  Jr.,ASSAMESE,Poetry
42,1980,Prithibir Asukh ,Jogesh Das,ASSAMESE,Short stories
43,1979,Sonali Jahaj ,Bhaben Barua,ASSAMESE,Poetry
44,1978,Pita Putra ,Homen Borgohain,ASSAMESE,Novel
45,1977,Bakul Banar Kavita ,Anand Chandra Barua,ASSAMESE,Poetry
46,1976,Srinkhal ,Bhabendra Nath Saikia,ASSAMESE,Short stories
47,1975,Kaka Deutar Har ,Navakanta Barua,ASSAMESE,Novel
48,1974,Golam ,Saurabh Kumar Chaliha,ASSAMESE,Short stories
49,1972,Aghari Atmar Kahini ,Syed Abdul Malik,ASSAMESE,Novel
50,1970,Mahatmar Pora Rupkonarloi ,Lakshminath Phookan,ASSAMESE,Reminiscenses
51,1969,Manchalekha ,Atul Chandra Hazarika,ASSAMESE,Study of Assamese theatre
52,1968,Alakananda ,Nalinibala Devi,ASSAMESE,Poetry
53,1967,Adhunik Galpa Sahitya ,Trailokyanath Goswami,ASSAMESE,Literary criticism
54,1966,Bedanar Ulka ,Ambikagiri Roychoudhuri,ASSAMESE,Poetry
55,1964,Asamar Lok-Sanskriti ,Birinchi Kumar Barua,ASSAMESE,Study in folk culture
56,1961,Iyaruingam ,Birendra Kumar Bhattacharyya,ASSAMESE,Novel
57,1960,Kangrechar Kachiyali Ra’dat ,Benudhar Sarma,ASSAMESE,Reminiscences
58,1955,Bana Phul ,Jatindranath Dowerah,ASSAMESE,Poetry
59,2023,Jaler Upar Pani ,Swapnamay Chakrabarti,BENGALI,Novel
60,2022,Birbal ,Tapan Bandopadhyay,BENGALI,Novel
61,2021,Mitjafar O Ananya Natale ,Bratya Basu,BENGALI,Play
62,2020,Eka Eka Ekashi ,Sankar Manishankar Mukhopadhyay,BENGALI,Memoirs
63,2019,Ghumer Darja Thele ,Chinmoy Guha,BENGALI,Essays
64,2018,Srikrishner Sesh Kata Din ,Sanjib Chattopadhyay,BENGALI,Story
65,2017,Sei Nikhonj Manusta ,Afsar Ahmed,BENGALI,Novel
66,2016,Mahabharater Astadashi ,Nrisinghaprasad Bhaduri,BENGALI,Essays
67,2015,Shono Jabaphul ,Alok Sarkar,BENGALI,Poetry
68,2014,Piya Mana Bhabe ,Utpal Kumar Basu,BENGALI,Poetry
69,2013,Dwaipayan Hrader Dhare ,Subodh Sarkar,BENGALI,Poetry
70,2012,Birasan ,Subrata Mukhopadhyaya,BENGALI,Novel
71,2011,Bane Aaj Concherto ,Manindra Gupta,BENGALI,Poetry
72,2010,Khanamihire Dhipi ,Bani Basu,BENGALI,Novel
73,2009,Kena Amra Rabindranathke Cha Ebong Kibhave ,Sourin Bhattacharya,BENGALI,Essays
74,2008,Ghumer Barir Mato Chand ,Sarat Kumar Mukhopadhyay,BENGALI,Poetry
75,2007,Amar Samay Alpa ,Samarendra Sengupta,BENGALI,Poetry
76,2006,Dhrubaputra ,Amar Mitra,BENGALI,Novel
77,2005,Haspatale Lekha Kabitaguchha ,Binay Mazumdar,BENGALI,Poetry
78,2004,Baul Fakir Katha ,Sudhir Chattopadhyay,BENGALI,Essay
79,2003,Krantikal ,Prafulla Roy,BENGALI,Novel
80,2002,Ami O Banabehari ,Sandipan Chattopadhyay,BENGALI,Novel
81,2001,Panchashati Galpa ,Atin Bandyopadhyaya,BENGALI,Short stories
82,2000,Pagli Tomar Sange ,Joy Goswami,BENGALI,Poetry
83,1999,Naba-Nita ,Nabaneeta Dev Sen,BENGALI,Prose-Poetry
84,1998,Anubhav ,Dibyendu Palit,BENGALI,Novel
85,1997,Herbert ,Nabarun Bhattacharya,BENGALI,Novel
86,1996,Tal Betal ,Ashok Mitra,BENGALI,Essays
87,1995,Kavita Sangraha ,Naresh Guha,BENGALI,Poetry
88,1994,Aleek Manush ,Syed Mustafa Siraj,BENGALI,Novel
89,1993,Shahjada Darasukoh ,Shyamal Gangopadhyay,BENGALI,Novel
90,1992,Marami Karat ,Alokeranjan Dasgupta,BENGALI,Poetry
91,1991,Sada Kham ,Moti Nandy,BENGALI,Novel
92,1990,Tista Parer Brittanta ,Debes Ray,BENGALI,Novel
93,1989,Manabjamin ,Sirshendu Mukhopadhyay,BENGALI,Novel
94,1988,Bari Badle Jai ,Ramapada Choudhuri,BENGALI,Novel
95,1987,Khujte Khujte Eto Dur ,Arun Mitra,BENGALI,Poetry
96,1986,Rajnagar ,Amiyabhusan Majumdar,BENGALI,Novel
97,1985,Sei Samay ,Sunil Gangopadhyay,BENGALI,Part II
98,1984,Kalbela ,Samaresh Majumdar,BENGALI,Novel
99,1983,Jete Pari Kintu Keno Jabo ,Sakti Chattopadhyay,BENGALI,Poetry
100,1982,Amritasya Putree ,Kamal Das,BENGALI,Novel
101,1981,"Kalikata Darpan, Pt. I ",Radharaman Mitra,BENGALI,Local history and culture
102,1980,Shamba ,Samaresh Basu ‘Kalkut’,BENGALI,Novel
103,1979,Aranyer Adhikar ,Mahasveta Devi,BENGALI,Novel
104,1978,"Vivekananda O Samakalin Bharatvarsha, Vol. I, II and III ",Sankari Prasad Basu,BENGALI,Biography and cultural history
105,1977,Babarer Prarthana ,Sankha Ghosh,BENGALI,Poetry
106,1976,Na Hanyate ,Maitreyee Devi,BENGALI,Novel
107,1975,Asamay ,Bimal Kar,BENGALI,Novel
108,1974,Ulanga Raja ,Nirendranath Chakravarti,BENGALI,Poetry
109,1972,Shesh Namaskar ,Santosh Kumar Ghosh,BENGALI,Novel
110,1971,Manimahesh ,Umaprasad Mukhopadhyay,BENGALI,Travelogue
111,1970,Adhunikata O Rabindranath ,Abu Sayeed Ayyub,BENGALI,Literary criticism
112,1969,Mohini Aral ,Manindra Ray,BENGALI,Poetry
113,1967,Tapasvi O Tarangini ,Buddhadev Bose,BENGALI,Verse Play
114,1966,Nishi-Kutumba ,Manoj Basu,BENGALI,Novel
115,1965,Smriti Satta Bhabishyat ,Bishnu Dey,BENGALI,Poetry
116,1964,Jata Durei Jai ,Subhas Mukhopadhyay,BENGALI,Poetry
117,1963,Ghare Pherar Din ,Amiya Chakravarti,BENGALI,Poetry
118,1962,Japane ,Annada Sankar Ray,BENGALI,Travelogue
119,1961,Bharater Sakti-Sadhana O Sakta Sahitya ,Sashi Bhushan Dasgupta,BENGALI,A study of the Sakti-cult
120,1959,Kolkatar Kachhei ,Gajendra Kumar Mitra,BENGALI,Novel
121,1958,Anandibai Ityadi Galpa ,‘Parashuram’ Rajshekhar Bose,BENGALI,Short stories
122,1957,Sagar Theke Phera ,Premendra Mitra,BENGALI,Poetry
123,1956,Arogya Niketan ,Tarashankar Bandyopadhyay,BENGALI,Novel
124,1955,Shreshtha Kavita ,Jibanananda Das,BENGALI,Poetry
125,2023,Jiu-Safarni Dakhwn ,Nandeswar Daimari,BODO (Since 2005),Short Stories
126,2022,Sansrini Modira ,Rashmi Choudhury,BODO (Since 2005),Poetry
127,2021,Khora Sayao Arw Himalay ,Mwdai Gahai,BODO (Since 2005),Poetry
128,2020,Gwthenay Lamayao Gwdan Agan ,late Dharanidhar Owari,BODO (Since 2005),Short Stories
129,2019,Akhai Athumniphrai ,Phukan Ch. Basumatary,BODO (Since 2005),Poetry
130,2018,Dwngse Lama ,Rituraj Basumatary,BODO (Since 2005),Short Stories
131,2017,Thwisam ,Rita Boro,BODO (Since 2005),Novel
132,2016,Ang Maboroi Dong Dasong ,Anju Anjali Narzary,BODO (Since 2005),Poetry
133,2015,Baidi Dengkhw Baidi Gab ,Brajendra Kumar Brahma,BODO (Since 2005),Poetry
134,2014,Udangnifrai Gidingfinnanei ,Urkhao Gwra Brahma,BODO (Since 2005),Poetry
135,2013,Delphini Onthai Mwdai Arw Gubun Gubun Khonthai ,Anil Boro,BODO (Since 2005),Poetry
136,2012,Boro Khonthai ,Guneswar Musahary,BODO (Since 2005),Poetry
137,2011,Okhafwrni Dwima ,Premananda Mosahari,BODO (Since 2005),Poetry
138,2010,Swdwbni Swler ,Aurobindo Uzir,BODO (Since 2005),Poetry
139,2009,Dainee? ,Manoranjan Lahar,BODO (Since 2005),Novel
140,2008,Birgwsrini Thungri ,Bidyasaqar Narzary,BODO (Since 2005),Novel
141,2007,Dumphaoni Phitha ,Janil Kumar Brahma,BODO (Since 2005),Short Stories
142,2006,Sanmwkhangari Lamajwng ,Katindra Swargiary,BODO (Since 2005),Novel
143,2005,Jiuni Mwgthang Bisombi Arw Aroj ,Mangalshingh Hazowary,BODO (Since 2005),Poetry
144,2023,Daun Sadiyan Ek Seer ,Vijay Verma,DOGRI (Since 1970),Poetry-Ghazal
145,2022,Chhe Roopak ,Veena Gupta,DOGRI (Since 1970),Drama
146,2021,Namme Tunnel ,Raj Rahi,DOGRI (Since 1970),Short Stories
147,2020,Baba Jitmal ,Gian Singh,DOGRI (Since 1970),Play
148,2019,Bandralta Darpan ,Om Sharma Jandriari,DOGRI (Since 1970),Essays
149,2018,Bhagirath ,lnderjeet Kesar,DOGRI (Since 1970),Novel
150,2017,Banna ,Shiv Mehta,DOGRI (Since 1970),Short Stories
151,2016,Cheta ,Chhatrapal,DOGRI (Since 1970),Short Stories
152,2015,Parchhamen Di Lo ,Dhian Singh,DOGRI (Since 1970),Poetry
153,2014,Hashiye Par ,Shailender Singh,DOGRI (Since 1970),Novel
154,2013,Doha Satsai ,Sitaram Sapolia,DOGRI (Since 1970),Poetry
155,2012,Tim-Tim Karde Tare ,Bal Krishan ‘Bhaura’,DOGRI (Since 1970),Poetry
156,2011,Cheten Diyan Galiyan ,Lalit Magotra,DOGRI (Since 1970),Essays
157,2010,Pandran Kahaniyan ,Manoj,DOGRI (Since 1970),Short Stories
158,2009,Geet Sarovar ,Praduman Singh Jindrahia,DOGRI (Since 1970),Poetry
159,2008,Cheten Di Rhol ,Champa Sharma,DOGRI (Since 1970),Poetry
160,2007,Mahatma Vidur ,Gian Singh Pagoch,DOGRI (Since 1970),Epic
161,2006,Kore kaakal Korian Talian ,Darshan Darshi,DOGRI (Since 1970),Poetry
162,2005,Dhaldi Dhuppe Da Sek ,Krishan Sharma,DOGRI (Since 1970),Short Stories
163,2004,Cheten Di Chitabri ,Shiv Nath,DOGRI (Since 1970),Essays
164,2003,Jhull Bada Dea Pattara ,Ashwani Magotra,DOGRI (Since 1970),Poetry
165,2002,Trip Trip Chete ,Om Vidyarthi,DOGRI (Since 1970),Travelogue
166,2001,Nighe Rang ,Verinder Kesar,DOGRI (Since 1970),Poetry
167,2000,Meel Patthar ,Bandhu Sharma,DOGRI (Since 1970),Short stories
168,1999,Mangwi Pashakri ,Kuldeep Singh Jindhrahia,DOGRI (Since 1970),Poetry
169,1997,Bakhre Bakhre Sach ,Shiv Dev Singh Sushil,DOGRI (Since 1970),Novel
170,1996,Baddali Kalave ,Gianeshwar,DOGRI (Since 1970),Poetry
171,1995,Lalsa ,Abhishap,DOGRI (Since 1970),Poetry
172,1994,Buddh Suhagan ,Jitendra Sharma,DOGRI (Since 1970),Plays
173,1992,Jo Tere Man-Chitta Laggi Ja ,Yash Sharma,DOGRI (Since 1970),Poetry
174,1991,Apni Daphli Apna Raag ,Mohan Singh,DOGRI (Since 1970),Plays
175,1990,Jeevan Lehran ,Tara Smailpuri,DOGRI (Since 1970),Poetry
176,1989,Sodh Samundaren Di ,Mohanlal Sapolia,DOGRI (Since 1970),Poetry
177,1988,Rattu Da Chanan ,Ram Lal Sharma,DOGRI (Since 1970),Poetry
178,1987,Beddan Dharti Di ,Prakash Premi,DOGRI (Since 1970),Epic
179,1986,Sunee Di Chiree ,Om Goswami,DOGRI (Since 1970),Short stories
180,1985,Ayodhya ,Dinoo Bhai Pant,DOGRI (Since 1970),Play
181,1984,Gamlen De Cactus ,Shiv Ram ‘Deep’,DOGRI (Since 1970),Poetry
182,1983,Aale ,Ved Rahi,DOGRI (Since 1970),Short stories
183,1982,Qaidi ,Deshbandhu Dogra ‘Nutan,DOGRI (Since 1970),Novel
184,1981,Ek Shehr Yaaden Da ,Jitendra Udhampuri,DOGRI (Since 1970),Poetry
185,1980,Ghar ,Kunwar Viyogi,DOGRI (Since 1970),Poetry
186,1979,Nanga Rukh ,O.P. Sharma ‘Sarathi’,DOGRI (Since 1970),Novel
187,1978,Sanjhi Dharti Bakhle Mahnu ,Narsingh Dev Jamwal,DOGRI (Since 1970),Novel
188,1977,Main Mele Ra Janun ,Kehri Singh ‘Madhukar’,DOGRI (Since 1970),Poetry
189,1976,Badnami Di Chhan ,Ram Nath Shastri,DOGRI (Since 1970),Short stories
190,1975,Mere Dogri Geet ,Krishna Smailpuri,DOGRI (Since 1970),Poetry
191,1974,"Duddh, Lahoo, Zahar ",Madan Mohan Sharma,DOGRI (Since 1970),Short stories
192,1972,Phull Bina Dali ,Srivats Vikal,DOGRI (Since 1970),Novel
193,1971,Meri Kavita Mere Geet ,Padma Sachdev,DOGRI (Since 1970),Poetry
194,1970,Nila Ambar Kale Badal ,Narendra Khajuria,DOGRI (Since 1970),Short stories
195,2023,Requiem in Raga Janki ,Neelum Saran Gour,ENGLISH,Novel
196,2022,All The Lives We Never Lived ,Anuradha Roy,ENGLISH,Novel
197,2021,Things to Leave Behind ,Namita Gokha1e,ENGLISH,Novel
198,2020,When God Is a Traveller ,Arundhathi Subramaniam,ENGLISH,Poetry
199,2019,An era of Darkness ,Shashi Tharoor,ENGLISH,Non-Fiction
200,2018,The Blind Lady's Descendants ,Anees Salim,ENGLISH,Novel
201,2017,The Black Hill ,Mamang Dai,ENGLISH,Novel
202,2016,Em and the big Hoom ,Jerry Pinto,ENGLISH,Novel
203,2015,Chronicle of a Corpse Bearer ,Cyrus Mistry,ENGLISH,Novel
204,2014,Trying to Say Goodbye ,Adil Jussawalla,ENGLISH,Poetry
205,2013,Laburnum For My Head ,Temsula Ao,ENGLISH,Short Stories
206,2012,These Errors Are Correct ,Jeet Thayil,ENGLISH,Poetry
207,2011,India After Gandhi ,Ramachandra Guha,ENGLISH,Narrative History
208,2010,Book of Rachel ,Esther David,ENGLISH,Novel
209,2009,The Mahabharata : An Inquiry in the Human Condition ,Badrinath Chaturvedi,ENGLISH,Critical Analysis
210,2007,Disorderly Women ,Malathi Rao,ENGLISH,Novel
211,2006,The Sari Shop ,Rupa Bajwa,ENGLISH,Novel
212,2005,The Algebra of Infinite Justice ,Arundhati Roy,ENGLISH,Essays
213,2004,The Mammaries of The Walfare State ,Upamanyu Chatterjee,ENGLISH,Novel
214,2003,The Perishable Empire : Essays On Indian Writing in English ,Meenakshi Mukherjee,ENGLISH,Essays
215,2002,A New World ,Amit Chaudhuri,ENGLISH,Novel
216,2001,Rajaji: A Life ,Rajmohan Gandhi,ENGLISH,Biography
217,2000,Cuckold ,Kiran Nagarkar,ENGLISH,Novel
218,1999,The Collected Poems of A.K. Ramanujan ,A.K. Ramanujan,ENGLISH,Poetry
219,1998,Final Solutions and other Plays ,Mahesh Dattani,ENGLISH,Plays
220,1996,Memories of Rain ,Sunetra Gupta,ENGLISH,Novel
221,1994,Serendip ,Dom Moraes,ENGLISH,Poetry
222,1993,After Amnesia: Tradition and Change in Indian Literary Criticism ,G.N. Devy,ENGLISH,Criticism
223,1992,Our Trees Still Grow in Dehra ,Ruskin Bond,ENGLISH,Short stories
224,1991,The Trotter-Nama ,I. Allan Sealy,ENGLISH,Novel
225,1990,That Long Silence ,Shashi Deshpande,ENGLISH,Novel
226,1989,The Shadow Lines ,Amitav Ghosh,ENGLISH,Novel
227,1988,The Golden Gate ,Vikram Seth,ENGLISH,Novel in verse
228,1987,Trapfalls in the Sky ,Shiv K. Kumar,ENGLISH,Poetry
229,1986,Rich Like Us ,Nayantara Sahgal,ENGLISH,Novel
230,1985,Collected Poems ,Kamala Das,ENGLISH,Poetry
231,1984,The Keeper of the Dead ,Keki N. Daruwalla,ENGLISH,Poetry
232,1983,Latter-Day Psalms ,Nissim Ezekiel,ENGLISH,Poetry
233,1982,The Last Labyrinth ,Arun Joshi,ENGLISH,Novel
234,1981,Relationship ,Jayant Mahapatra,ENGLISH,Poetry
235,1980,"On the Mother, Vol. I and II ",K.R. Srinivasa lyengar,ENGLISH,Biography
236,1979,Inside the Haveli ,Rama Mehta,ENGLISH,Novel
237,1978,Fire on the Mountain ,Anita Desai,ENGLISH,Novel
238,1977,Azadi ,Chaman Nahal,ENGLISH,Novel
239,1976,Jawaharlal Nehru ,S. Gopal,ENGLISH,1889-1947
240,1975,Scholar Extraordinary ,Nirad C. Chaudhuri,ENGLISH,Biography
241,1971,Morning Face ,Mulk Raj Anand,ENGLISH,Novel
242,1969,An Artist in Life ,Niharranjan Ray,ENGLISH,Study of Tagore
243,1967,Shadow from Ladakh ,Bhabani Bhattacharya,ENGLISH,Novel
244,1965,The Tribal World of Verrier Elwin ,Verrier Elwin,ENGLISH,Autobiography
245,1963,The Serpent and the Rope ,Raja Rao,ENGLISH,Novel
246,1960,The Guide ,R.K. Narayan,ENGLISH,Novel
247,2023,Sairandhree ,Vinod Joshi,GUJARATI,Epic Poetry
248,2022,Gher Jatan ,Gulam Mohammad Shaikh,GUJARATI,Autobiographical Essays
249,2021,Gandh Manjusha ,Yagnesh Dave,GUJARATI,Poetry
250,2020,Banaras Diary ,Harish Meenashru,GUJARATI,Poetry
251,2019,Mojma Revu Re ,Ratilal Borisagar,GUJARATI,Essays
252,2018,Vibhajanni Vyatha ,Sharifa Vijliwala,GUJARATI,Essays
253,2017,Gujarati Vyakaranna Baso Varsh ,Urmi Ghanshyam Desai,GUJARATI,Criticism
254,2016,Anekek ,Kamal Vora,GUJARATI,Poetry
255,2015,Antey Aarambh ,Rasik Shah,GUJARATI,Part-I & II
256,2014,Chhabi Bhitarani ,late Ashvin Mehta,GUJARATI,Essays
257,2013,Khara Zaran ,Chinu Modi,GUJARATI,Poetry
258,2012,Sakshibhasya ,Chandrakant Topiwala,GUJARATI,Criticism
259,2011,Anchaio ,Mohan Parmar,GUJARATI,Short Stories
260,2010,Chhavani ,Dhirendra Mehta,GUJARATI,Novel
261,2009,Vaat Apna Vivechanani ,Shirish J. Panchal,GUJARATI,Criticism
262,2008,Fatfatiun ,Suman Shah,GUJARATI,Short Stories
263,2007,Gazal-Samhita ,Rajendra Shukla,GUJARATI,Poetry
264,2006,Aatano Suraj ,Ratilal ‘Anil’,GUJARATI,Essays
265,2005,Akhand Zalar Vage ,Suresh Dalal,GUJARATI,Poetry
266,2004,Saundaryani Nadi Narmada ,Amritlal Vegad,GUJARATI,Traveloque
267,2003,Akhepatar ,Bindu Bhatt,GUJARATI,Novel
268,2002,Tattvamasi ,Dhruv Prabodhrai Bhatt,GUJARATI,Novel
269,2001,Agantuk ,Dhiruben Patel,GUJARATI,Novel
