,YEAR,BOOK,AUTHOR,LANGUAGE,CATEGORY
270,2000,Dhundhabhari Khin ,Vinesh Antani,GUJARATI,Novel
271,1999,Gujarati Sahiyta-Purvardha Uttarardha ,Niranjan N. Bhagat,GUJARATI,Criticism
272,1998,Vank-dekham Vivechano ,Jayant Kothari,GUJARATI,Criticism
273,1997,Kuvo ,Ashokpuri Goswami,GUJARATI,Novel
274,1996,Andhari Galima Safed Tapakan ,Himanshi Shelat,GUJARATI,Short stories
275,1995,Ansar ,Varsha M. Adalja,GUJARATI,Novel
276,1994,Vitan Sud Beej ,Ramesh Parekh,GUJARATI,Poetry
277,1993,Agnikundaman Ugelun Gulab ,Narayan Desai,GUJARATI,Biography
278,1992,Devoni Ghati ,Bholabhai Patel,GUJARATI,Travelogue
279,1991,Tolan Aawaz Ghunghat ,Labhshanker Thaker,GUJARATI,Poetry
280,1990,Statue ,Anil R. Joshi,GUJARATI,Essays
281,1989,Angaliat ,Joseph Macwan,GUJARATI,Novel
282,1988,Asooryalok ,Bhagwatikumar Sharma,GUJARATI,Novel
283,1987,Jatayu ,Sitanshu Yashaschandra,GUJARATI,Poetry
284,1986,Dhoolmani Paglio ,Chandrakant T. Sheth,GUJARATI,Reminiscences
285,1985,Sat Paglan Aakashman ,Kundanika Kapadia,GUJARATI,Novel
286,1984,Vivechanni Prakriya ,Ramanlal Joshi,GUJARATI,Literary criticism
287,1983,Chintayami Manasa ,Suresh Joshi,GUJARATI,Essays
288,1982,Lilero Dhal ,Priyakant Maniar,GUJARATI,Poetry
289,1981,Rachna ane Samrachna ,Harivallabh Bhayani,GUJARATI,Criticism
290,1980,Anunaya ,Jayant Pathak,GUJARATI,Poetry
291,1979,Vamal Nan Van ,Jagdish Joshi,GUJARATI,Poetry
292,1978,Hayati ,Harindra Dave,GUJARATI,Poetry
293,1977,Uparvas Kathatrayi ,Raghuvir Chaudhari,GUJARATI,Novel
294,1976,Aswattha ,N.K. Pandya ‘Ushanas’,GUJARATI,Poetry
295,1975,Socrates ,Manubhai Pancholi ‘Darshak’,GUJARATI,Novel
296,1974,Tartamya ,Anantrai M. Raval,GUJARATI,Literary criticism
297,1973,Kavini Shraddha ,Umashankar Joshi,GUJARATI,Literary criticism
298,1971,Natya Gathariyan ,C.C. Mehta,GUJARATI,Travelogue
299,1970,Abhinavano Rasavichar ,Nagindas Parekh,GUJARATI,Literary criticism
300,1969,Kulkathao ,Swami Anand,GUJARATI,Pen-portraits
301,1968,Avalokana ,Sundaram Tribhuvandas P. Luhar,GUJARATI,Literary reviews
302,1967,Gujarati Bhashanum Dhwani-Swarup and Dhwani-Parivartan ,P.B. Pandit,GUJARATI,Linguistic study
303,1965,Jeevan-Vyavastha ,Kakasaheb Kalelkar,GUJARATI,Essays
304,1964,Naivedya ,Dolarrai R. Mankad,GUJARATI,Essays
305,1963,Shant Kolahal ,Rajendra Shah,GUJARATI,Poetry
306,1962,Upayana ,V.R. Trivedi,GUJARATI,Critical writings
307,1961,Kachhnun Sanskrit Darshan ,Ram Singhji Rathod,GUJARATI,A cultural survey
308,1960,Sharvilak ,Rasiklal C. Parekh,GUJARATI,Play
309,1958,Darshan ane Chintan ,Pandit Sukhlal,GUJARATI,Philosophical essays
310,1956,Brihat-Pingal ,Ramnarayan Pathak,GUJARATI,Treatise on prosody
311,1955,Mahadev Bhaini Diary ,Mahadev Desai,GUJARATI,Memoirs
312,2023,Mujhe Pahachaano ,Sanjeev,HINDI,Novel
313,2022,Tumadi Ke Shabd ,Badri Narayan,HINDI,Poetry
314,2021,Samrat Ashok ,Daya Prakash Sinha,HINDI,Play
315,2020,Tokri Mein Digant ‘Their Gatha’ : 2014 ,Anamika,HINDI,Poetry
316,2019,Chheelate Hue Apne Ko ,Nand Kishore Acharya,HINDI,Poetry
317,2018,Post Box No. 203-Naala Sopara ,Chitra Mudgal,HINDI,Novel
318,2017,Vishw Mithak Sarit Sagar ,Ramesh Kuntal Megh,HINDI,Literary Criticism
319,2016,Paarijat ,Nasira Sharma,HINDI,Novel
320,2015,Aag Ki Hansi ,Ramdarash Mishra,HINDI,Poetry
321,2014,Vinayak ,Ramesh Chandra Shah,HINDI,Novel
322,2013,Miljul Man ,Mridula Garg,HINDI,Novel
323,2012,Patthar Fenk Raha Hoon ,Chandrakant Devtale,HINDI,Poetry
324,2011,Rehan Per Raghu ,Kashinath Singh,HINDI,Novel
325,2010,Mohan Das ,Uday Prakash,HINDI,Short Story
326,2009,Hawa Main Hasthakshar ,Kailash Vajpeyi,HINDI,Poetry
327,2008,Kohre Mein Kaid Rang ,Govind Mishra,HINDI,Novel
328,2007,Inhin Hathiyaron Se ,Amar Kant,HINDI,Novel
329,2006,Sanshyatma ,Gyanendrapati,HINDI,Poetry
330,2005,Kyaap ,Manohar Shyam Joshi,HINDI,Novel
331,2004,Dushchakra Mein Srista ,Viren Dangwal,HINDI,Poetry
332,2003,Kitne Pakistan ,Kamleshwar,HINDI,Novel
333,2002,Do Panktiyon Ke Beech ,Rajesh Joshi,HINDI,Poetry
334,2001,Kali-Katha : Via Bypass ,Alka Saraogi,HINDI,Novel
335,2000,Hum Jo Dekhte Hain ,Manglesh Dabral,HINDI,Poetry
336,1999,Deewar Main Ek Khirkee Rahathi Thi ,Vinod Kumar Shukla,HINDI,Novel
337,1998,Naye Ilake Mein ,Arun Kamal,HINDI,Poetry
338,1997,Anubhav Ke Aakash Mein Chand ,Leeladhar Jagoori,HINDI,Poetry
339,1996,Mujhe Chand Chahiye ,Surendra Verma,HINDI,Novel
340,1995,Koi Doosra Nahin ,Kunwar Narain,HINDI,Poetry
341,1994,Kahin Nahin Wahin ,Ashok Vajpeyi,HINDI,Poetry
342,1993,Ardhanarishwar ,Vishnu Prabhakar,HINDI,Novel
343,1992,Dhai Ghar ,Giriraj Kishore,HINDI,Novel
344,1991,Main Vaqt Ke Hun Samne ,Girija Kumar Mathur,HINDI,Poetry
345,1990,Neela Chand ,Shiv Prasad Singh,HINDI,Novel
346,1989,Akaal Mein Saras ,Kedarnath Singh,HINDI,Poetry
347,1988,Aranya ,Naresh Mehta,HINDI,Poetry
348,1987,Magadh ,Shrikant Verma,HINDI,Poetry
349,1986,Apurva ,Kedarnath Aggarwal,HINDI,Poetry
350,1985,Kavve aur Kala Pani ,Nirmal Varma,HINDI,Short stories
351,1984,Log Bhool Gaye Hain ,Raghuvir Sahai,HINDI,Poetry
352,1983,Khutiyon Par Tange Log ,Sarveshwar Dayal Saxena,HINDI,Poetry
353,1982,Viklang Shraddha Ka Daur ,Harishankar Parsai,HINDI,Satire
354,1981,Tap Ke Taye Hue Din ,Trilochan,HINDI,Novel
355,1980,Zindaginama-Zinda Rukh ,Krishna Sobti,HINDI,Novel
356,1979,Kal Sunana Mujhe ,Dhoomil,HINDI,Poetry
357,1978,Utna Vah Suraj Hai ,Bharat Bhushan Agarwal,HINDI,Poetry
358,1977,Chuka Bhi Hun Nahin Main ,Shamsher Bahadur Singh,HINDI,Poetry
359,1976,Meri Teri Uski Baat ,Yashpal,HINDI,Novel
360,1975,Tamas ,Bhisham Sahni,HINDI,Novel
361,1974,Mitti Ki Baraat ,Shiv Mangal Singh ‘Suman’,HINDI,Poetry
362,1973,Alok Parva ,Hazari Prasad Dwivedi,HINDI,Essays
363,1972,Buni Huyi Rassi ,Bhawani Prasad Mishra,HINDI,Poetry
364,1971,Kavita Ke Naye Pratiman ,Namwar Singh,HINDI,Literary criticism
365,1970,Nirala Ki Sahitya Sadhana ,Ram Vilas Sharma,HINDI,Biography
366,1969,Rag Darbari ,Shrilal Shukla,HINDI,Novel
367,1968,Do Chattanen ,Harivansh Rai Bachchan,HINDI,Poetry
368,1967,Amrit Aur Vish ,Amritlal Nagar,HINDI,Novel
369,1966,Muktibodh ,Jainendra Kumar,HINDI,Novelette
370,1965,Rasa Siddhanta ,Nagendra,HINDI,Treatise on poetics
371,1964,Aangan Ke Par Dvar ,‘Agyeya’ S.H. Vatsyayan,HINDI,Poetry
372,1963,Premchand: Kalam Ka Sipahi ,Amrit Rai,HINDI,Biography
373,1961,Bhoole Bisre Chitra ,Bhagwaticharan Verma,HINDI,Novel
374,1960,Kala aur Burha Chand ,Sumitranandan Pant,HINDI,Poetry
375,1959,Sanskriti Ke Char Adhyaya ,‘Dinkar’Ramdhari Sinha,HINDI,A survey of Indian culture
376,1958,Madhya Asia Ka Itihas ,Rahul Sankrityayan,HINDI,History
377,1957,Bauddha Dharma-Darshan ,Acharya Narendra Dev,HINDI,Philosophy
378,1956,Padmavat Sanjivani Vyakhya ,Vasudevasaran Agrawala,HINDI,Commentary
379,1955,Him-Tarangini ,Makhanlal Chaturvedi,HINDI,Poetry
380,2023,Mahabharatha Anusandhanada Bharathayatre ,Lakshmisha Tolpadi,KANNADA,Essays
381,2022,Bahutvada Bhaarata mattu Bouddha Taatvikate ,Mudnakudu Chinnaswamy,KANNADA,Collection of Articles
382,2021,Gandhi Kathana ,D.S. Nagabhushana,KANNADA,Biography
383,2020,Sri Bahubali Ahimsadigvijayam ,M. Veerappa Moily,KANNADA,Epic Poetry
384,2019,Kudi Esaru ,Vijaya,KANNADA,Autobiography
385,2018,Anushreni-Yajamanike ,K.G. Nagarajappa,KANNADA,Literary Criticism
386,2017,Kathana Bharathi ,T.P. Ashoka,KANNADA,Literary Criticism
387,2016,Swatantryada Ota ,Boluwaru Mohammad Kunhi,KANNADA,Novel
388,2015,Akshaya Kavya ,K.V. Tirumalesh,KANNADA,Poetry
389,2014,Uttaraardha ,G.H. Nayak,KANNADA,Essays
390,2013,Akyana-Vyakyana ,C.N. Ramachandran,KANNADA,Essays
391,2012,Mabbina Haage Kaniveyaasi ,H.S. Shiva Prakash,KANNADA,Poetry
392,2011,Swapna Saraswata ,Gopalakrishna Pai,KANNADA,Novel
393,2010,Kattiyachina Daari ,Rahamath Tarikere,KANNADA,Criticism
394,2009,Krouncha Pakshigalu ,Vaidehi,KANNADA,Short Stories
395,2008,Halla Bantu Halla ,Shrinivas B. Vaidya,KANNADA,Novel
396,2007,Aramance ,Kum. Veerabhadrappa,KANNADA,Novel
397,2006,Marga-4 ,M.M. Kalburgi,KANNADA,Essays
398,2005,Teru ,Raghavendra Patil,KANNADA,Novel
399,2004,Baduku ,Geetha Nagabhushana,KANNADA,Novel
400,2003,Kaviraja Marga Mattu Kannada Jagattu ,K.V. Subbanna,KANNADA,Essays
401,2002,Yugasandhya ,Sujana S. Narayana Shetty,KANNADA,Epic
402,2001,English Sahitya Charitre ,L.S. Seshagiri Rao,KANNADA,Literary history
403,2000,Om Namo ,Shantinath K. Desai,KANNADA,Novel
404,1999,Sahitya Kathana ,D.R. Nagaraj,KANNADA,Essays
405,1998,Sapthapadi ,B.C. Ramachandra Sharma,KANNADA,Poetry
406,1997,Hosatu Hosatu ,M. Chidananda Murthy,KANNADA,Criticism
407,1996,Bhuvanada Bhagya ,G.S.Amur,KANNADA,Literary criticism
408,1995,Uriya Nalage ,Kirtinath Kurtkoti,KANNADA,Criticism
409,1994,Taledanda ,Girish Karnad,KANNADA,Play
410,1993,Kallu Karaguva Samaya ,P. Lankesh,KANNADA,Short Stories
411,1992,Bakulada Hoovugalu ,S.R. Ekkundi,KANNADA,Poetry
412,1991,Sirisampige ,Chandrasekhara Kambar,KANNADA,Play
413,1990,Kusuma Bale ,Devanur Mahadeva,KANNADA,Novel
414,1989,Samprati ,H.M. Nayak,KANNADA,Belles-Lettres
415,1988,Avadheshwari ,Shankar Mokashi Punekar,KANNADA,Novel
416,1987,Chidambara Rahasya ,K.P. Poornachandra Tejaswi,KANNADA,Novel
417,1986,Bandaya ,Vyasaraya Ballal,KANNADA,Novel
418,1985,Durgaasthamaana ,T.R. Subba Rao Ta. Ra. Su.,KANNADA,Novel
419,1984,Kavyartha Chintana ,G.S. Sivarudrappa,KANNADA,Literary Criticism
420,1983,Katheyaadalu Hudugi ,Yashwant Chittal,KANNADA,Short stories
421,1982,Vaishakha ,Chaduranga,KANNADA,Novel
422,1981,Jeewa Dhwani ,Chennaveera Kanavi,KANNADA,Poetry
423,1980,Americadalli Goruru ,Goruru Ramaswami lyengar,KANNADA,Travelogue
424,1979,Chitragalu Patragalu ,A.N. Moorthy Rao,KANNADA,Reminiscences
425,1978,Hasuru Honnu ,B.G.L. Swamy,KANNADA,Travelogue
426,1977,Tereda Baagilu ,K.S. Narasimhaswam,KANNADA,Poetry
427,1976,Mana Manthana ,M. Shivaram,KANNADA,Psychiatric studies
428,1975,Daatu ,S.L. Bhyrappa,KANNADA,Novel
429,1974,Vardhamaana ,Gopalakrishna Adiga,KANNADA,Poetry
430,1973,Aralu Baralu ,V. Sitaramaiah,KANNADA,Poetry
431,1972,Shoonyasampadaneya Paramarshe ,S.S. Bhoosnurmath,KANNADA,Commentary
432,1971,Kalidasa ,Adya Rangacharya,KANNADA,Literary criticism
433,1970,Karnataka Samskritiya Poorva Peethike ,S.B. Joshi,KANNADA,Cultural Study
434,1969,Karnataka Samskriti Sameekshe ,H. Tipperudraswamy,KANNADA,Cultural Study
435,1968,Sannakathegalu ,‘Srinivasa’ Masti Venkatesa lyengar,KANNADA,12-13
436,1967,Shrimad Bhagavadgita Tatparya Athava Jivanadharmayoga ,D.V. Gundappa,KANNADA,Philosophical expositions
437,1966,Hamsa Damayand Mattu Itara Rupakagalu ,P.T. Narasimhachar,KANNADA,Musical plays
438,1965,Ranga Binnapa ,S.V. Ranganna,KANNADA,Philosophical reflections
439,1964,Kranti-Kalyana ,B. Puttaswamayya,KANNADA,Novel
440,1962,Mahakshatriya ,Devudu Narasimha Sastri,KANNADA,Novel
441,1961,Bangali Kadambarikara Bankim Chandra ,A.R. Krishna Sastri,KANNADA,A critical Study
442,1960,Dyava-Prithvi ,‘Vinayaka’ V.K. Gokak,KANNADA,Poetry
443,1959,Yakshagana Bayalata ,K.S. Karanth,KANNADA,A treatise on folk-drama
444,1958,Aralu-Maralu ,D.R. Bendre,KANNADA,Poetry
445,1956,Kannada Sahitya Charitre ,R.S. Mugali,KANNADA,History of Literature
446,1955,Sri Ramayana Darsanam ,‘Kuvempu’ K.V. Puttappa,KANNADA,Epic
447,2023,Yeth Waweh Halay Tsong Kous Zalay ,Manshoor Banihali,KASHMIRI,Poetry
448,2022,Zael Dab ,Farooq Fayaz,KASHMIRI,Literary Criticism
449,2021,Tawazun ,Wali Mohd. Aseer Kashtawari,KASHMIRI,Criticism
450,2020,Tilasm-e-Khanabadosh ,Late Hirday Koul Bharti,KASHMIRI,Short Stories
451,2019,Akh Yaad Akh Qayamat ,Abdul Ahad Hajini,KASHMIRI,Short Stories
452,2018,Aakh ,Mushtaq Ahmad Mushtaq,KASHMIRI,Short Stories
453,2017,Yeli Parda Woth ,Autar Krishen Rahbar,KASHMIRI,Short Stories
454,2016,Aane Khane ,Aziz Hajini,KASHMIRI,Criticism
455,2015,Jamis Ta Kasheeri Manz Kashir Natia Adabuk Tawareekh ,Bashir Bhadarwahi,KASHMIRI,Criticism
456,2014,Kore Kakud Pushrith Gome ,Shad Ramzan,KASHMIRI,Poetry
457,2013,Aina Aatash ,MohiudDin Reshi,KASHMIRI,Short Stories
458,2012,Yath Aangnas Manz ,Makhan Lal Kanwal,KASHMIRI,Poetry
459,2011,Na Thsay Na Aks ,Naseem Shafaie,KASHMIRI,Poetry
460,2010,Yiman Padan Mye Vetsaar Gotshuy ,Basher Bashir,KASHMIRI,Criticism
461,2009,Vont ,Mishal Sultanpuri,KASHMIRI,Literary Criticism
462,2008,Baazyaafat ,Ghulam Nabi Aatash,KASHMIRI,Criticism
463,2007,Tshen ,Ratan lal Shant,KASHMIRI,Short Stories
464,2006,Yaad Aasmqnqn Hinz ,Shafi Shauq,KASHMIRI,Poetry
465,2005,Yath Miani Joye ,Hamidi Kashmiri,KASHMIRI,Poetry
466,2004,Sada Te Samandar ,Gh. Nabi Firaq,KASHMIRI,Poetry
467,2003,Yell Phol Gaash ,Som Nath Zutshi,KASHMIRI,Short Stories
468,2002,Pursaan ,Naji Munawar,KASHMIRI,Criticism
469,2001,Rikhah ,MohiudDinGowhar,KASHMIRI,Poetry
470,2000,Yath Raaz Danay ,Harikrishna Kaul,KASHMIRI,Short Stories
471,1999,Vahrat ,Rashid Nazki,KASHMIRI,Poetry
472,1998,Mahjoor Shinasi ,Mohammad Yousuf Taing,KASHMIRI,Criticism
473,1997,Nai Che Nallan ,Rafiq Raaz,KASHMIRI,Poetry
474,1995,Naar Hatun Kazal Wanas ,M. Farooq Nazki,KASHMIRI,Poetry
475,1994,Kaeji Raath ,Sajood Sailani,KASHMIRI,Play
476,1993,Kenh Natu Kenh ,Syed Rasool Pompur,KASHMIRI,Essays
477,1992,Amaar ,Shafi Shaida,KASHMIRI,Poetry
478,1991,Achhre Tsange ,Ghulam Nabi Tak Naazir,KASHMIRI,Poetry
479,1990,Kashur Sarmaya ,Fazil Kashmiri,KASHMIRI,Poetry
480,1989,Sheen Te Watpod ,Pran Kishore,KASHMIRI,Novel
481,1988,Pun-Te-Paap ,Ghulam Nabi Gauhar,KASHMIRI,Novel
482,1987,Awaz-i-Dost ,Mir Ghulam Rasool Nazki,KASHMIRI,Poetry
483,1986,Shihil Kul ,Dina Nath Nadim,KASHMIRI,Poetry
484,1985,Lole Vetsar ,Mirza G.H. Beg Arif,KASHMIRI,Poetry
485,1984,Essay ,Mohd. Zaman Azurdah,KASHMIRI,Essays
486,1982,Natak Truche ,Motilal Kemmu,KASHMIRI,Play
487,1981,Mansar ,Moti Lal Saqi,KASHMIRI,Poetry
488,1979,Partavistan ,Marghoob Banihali,KASHMIRI,Poetry
489,1978,Be Soakh Rooth ,G.R. Santosh,KASHMIRI,Poetry
490,1976,Machama ,Pushkar Bhan,KASHMIRI,Plays
491,1975,Gaashir Munaar ,Ghulam Nabi Khayal,KASHMIRI,Essays
492,1972,Suyya ,Ali Mohammad Lone,KASHMIRI,Play
493,1970,Maqualaat ,Mohiuddin Hajini,KASHMIRI,Essays
494,1969,Ka ‘Shri Zab’: Ny Hund Alleqavaad Phera ,Abdul Khaliq Tak Zainageri,KASHMIRI,Linguistic Study
495,1967,Laveh Te Praveh ,Amin Kamil,KASHMIRI,Poetry
496,1961,Nauroz-i-Saba ,A. Rahman Rahi,KASHMIRI,Poetry
497,1958,Sat Sangar ,Akhtar MohiudDin Ghulam MohiudDinAkhtar Wani,KASHMIRI,Short stories
498,1956,Sumran ,Zinda Kaul ‘Masterji’,KASHMIRI,Poetry
499,2023,Varsal ,Prakash S. Parienkar,KONKANI (Since 1977),Short Stories
500,2022,Amrutvel ,Maya Anil Kharangate,KONKANI (Since 1977),Novel
501,2021,Raktachandan ,Sanjiv Verenkar,KONKANI (Since 1977),Poetry
502,2020,Yugaparivarthanancho Yatri ,R.S. Bhaskar,KONKANI (Since 1977),Poetry
503,2019,The Words ,Nilba A. Khandekar,KONKANI (Since 1977),Poetry
504,2018,Chitralipi ,Paresh Narendra Kamat,KONKANI (Since 1977),Poetry
505,2017,Khand Ani Her Katha ,Gajanan Jog,KONKANI (Since 1977),Short Stories
506,2016,Kale Bhangar ,Edwin J.F.Dsouza,KONKANI (Since 1977),Novel
507,2015,Karna Parva ,Uday Bhembre,KONKANI (Since 1977),Play
508,2014,Manthan ,Madhavi Sardesai,KONKANI (Since 1977),Essays
509,2013,Manmotayam ,Tukaram Rama Shet,KONKANI (Since 1977),Essays
510,2012,Kavyasutra ,Kashinath Shamba Lolienkar S.D.Tendulkar,KONKANI (Since 1977),Poetry
511,2011,Prakriticho Paas ,Melvyn Rodrigues,KONKANI (Since 1977),Poetry
512,2010,Kayallyachem Sraddha ,Arun Sakhardande,KONKANI (Since 1977),Poetry
513,2009,Kirvontt ,Jess Fernandes,KONKANI (Since 1977),Poetry
514,2008,Ghanaqhai Niyatiche ,Ashok Kamat,KONKANI (Since 1977),Novel
515,2007,Dika ,Devidas Kadam,KONKANI (Since 1977),Novel
516,2006,Jai Kai Jui ,Datta Damodar Naik,KONKANI (Since 1977),Essays
517,2005,Bhaangarsaall ,N. Shivdas,KONKANI (Since 1977),Short Stories
518,2004,Athang ,Jayanti Naik,KONKANI (Since 1977),Short Stories
519,2003,Parigh ,Shashank Sitaram,KONKANI (Since 1977),Short Stories
520,2002,Bhogadandd ,Hema Naik,KONKANI (Since 1977),Novel
521,2001,Yaman ,Madhav Borcar,KONKANI (Since 1977),Poetry
522,2000,Champhel’li Sanj ,Pandurang Bhangui,KONKANI (Since 1977),Poetry
523,1999,Antarnad ,Saratchandra Shenoi,KONKANI (Since 1977),Poetry
524,1998,Ashim Asim Lharan ,John Baptist Sequeira,KONKANI (Since 1977),Poetry
525,1997,Bhuim Chafim ,Sheela Kolambkar,KONKANI (Since 1977),Pen-portraits
526,1996,Nilem Nilem Braham ,Sankar Ramani,KONKANI (Since 1977),Poetry
527,1995,Gomanchal Te Himachal ,Dilip Borkar,KONKANI (Since 1977),Travelogue
528,1994,Antarayami ,Gokuldas Prabhu,KONKANI (Since 1977),Short Stories
529,1993,Tarangan ,Mahabaleshwar Sail,KONKANI (Since 1977),Short Stories
530,1992,Vanshakulachen Denen ,Nagesh Karmali,KONKANI (Since 1977),Poetry
531,1991,Sapan Fulam ,Meena Kakodkar,KONKANI (Since 1977),Short stories
532,1990,Savul Gori ,Ramesh B. Veluskar,KONKANI (Since 1977),Poetry
533,1989,Sonshyache Kan ,C.F. D’Costa,KONKANI (Since 1977),Poetry
534,1988,Vhonkolpavnni ,Chandrakant Keni,KONKANI (Since 1977),Short stories
535,1987,Panaji Atam Mhatari Zalea ,Arvind N. Mambro,KONKANI (Since 1977),Short stories
536,1986,Hanv Monis Asvat-Thamo ,Prakash Damodar Padgaonkar,KONKANI (Since 1977),Poetry
537,1985,Bhitorlem Tufan ,J.B. Moraes,KONKANI (Since 1977),Poetry
538,1984,Chowrang ,Pundalik Narayan Naik,KONKANI (Since 1977),One-act play
539,1983,Karmelin ,Damodar Mauzo,KONKANI (Since 1977),Novel
540,1982,Khabari ,Laxmanrao Sardessai,KONKANI (Since 1977),Essays
541,1981,Sasaya ,B.B. Borkar Bakibab,KONKANI (Since 1977),Poetry
542,1980,Pissolim ,Manohar Sardessai,KONKANI (Since 1977),Poetry
543,1979,Dorya Gazota ,R.V. Pandit,KONKANI (Since 1977),Poetry
544,1978,Manni Punav ,D.K. Sukhthankar,KONKANI (Since 1977),Humorous essays
545,1977,Himalayant ,Ravindra Kelekar,KONKANI (Since 1977),Travelogue
