,YEAR,BOOK,AUTHOR,LANGUAGE,CATEGORY
1060,2023,Jaba Baha ,Taraceen Baskey Turia Chand Baskey,SANTHALI (Since 2005),Short Stories
1061,2022,Sabarnaka Balire Sanan’ Panjay ,Kajli Soren Jagannath Soren,SANTHALI (Since 2005),Poetry
1062,2021,Mane Rena Arhang ,Niranjan Hansda,SANTHALI (Since 2005),Short Stories
1063,2020,Gur Dak Kasa Dak ,Rupchand Hansdah,SANTHALI (Since 2005),Poetry
1064,2019,Sisirjali ,Kali Charan Hembram,SANTHALI (Since 2005),Short Stories
1065,2018,Marom ,Shyam Besra Jiwi Rarec,SANTHALI (Since 2005),Novel
1066,2017,Tahena.n Tangi re ,Bhujanga Tudu,SANTHALI (Since 2005),Poetry
1067,2016,Nalha ,Gobinda Chandra Majhi,SANTHALI (Since 2005),Poetry
1068,2015,Parsi Khatir ,Rabilal Tudu,SANTHALI (Since 2005),Play
1069,2014,Mala Mudam ,Jamadar Kisku,SANTHALI (Since 2005),Play
1070,2013,Chanda Bonga ,Arjun Charan Hembram,SANTHALI (Since 2005),Poetry
1071,2012,Banchaw Akan Goj Hor ,Gangadhar Hansda,SANTHALI (Since 2005),Short Stories
1072,2011,Banchao Larhai ,Aditya Kumar Mandi,SANTHALI (Since 2005),Poetry
1073,2010,Rahi Ranwak’ Kana ,Bhoqla Soren,SANTHALI (Since 2005),Play
1074,2009,Say Sahed ,Damayanti Beshra,SANTHALI (Since 2005),Poetry
1075,2008,Manmi ,Badal Hembram,SANTHALI (Since 2005),Short Stories
1076,2007,Chet Re Cikayana ,Kherwal Saren,SANTHALI (Since 2005),Play
1077,2006,Guru Gomke Pondet Raghunath Murmu ,Ram Chandra Murmu,SANTHALI (Since 2005),Biography
1078,2005,Bhabna ,Jadumani Besra,SANTHALI (Since 2005),Poetry
1079,2023,Hathu Pakidijain ,Vinod Asudani,SINDHI (Since 1959),Poetry-Ghazal
1080,2022,Sindhi Sahit Jo Mukhtasar Itihas ,Kanhaiyalal Lekhwani,SINDHI (Since 1959),Literary History
1081,2021,Nena Nindakhra ,Arjun Chawla,SINDHI (Since 1959),Poetry
1082,2020,Jehad ,Jetho Lalwani,SINDHI (Since 1959),Plays
1083,2019,Jeejal ,Ishwar Moorjani,SINDHI (Since 1959),Short Stories
1084,2018,Jia Mein Taandaa ,Khiman U Mulani,SINDHI (Since 1959),Poetry
1085,2017,Aachhende Laja Maraan ,Jagdish Lachhani,SINDHI (Since 1959),Essays
1086,2016,Akhar Katha ,Nand Javeri,SINDHI (Since 1959),Poetry
1087,2015,Mahengi Murk ,Maya Rahi,SINDHI (Since 1959),Short Stories
1088,2014,Sija Agyaan Buku ,Gope Kamal,SINDHI (Since 1959),Poetry
1089,2013,Mansh-Nagari ,Namdev Tarachandani,SINDHI (Since 1959),Poetry
1090,2012,Miteea Khaan Miteea Taaeen ,Indra Vaswani,SINDHI (Since 1959),Short Stories
1091,2011,...Ta Khawaban Jo Chha Thindo ,Mohan Geham,SINDHI (Since 1959),Plays
1092,2010,Ajan Yaad Aahe ,Laxman Dubey,SINDHI (Since 1959),Poetry
1093,2009,Rishtan Jee Siyasat ,Anand Khemani,SINDHI (Since 1959),Short Stories
1094,2008,Sirjan Jo Sankat Ain Sindhi Kahani ,Hiro Shewkani,SINDHI (Since 1959),Criticism
1095,2007,Vijoon Vasan Aayoon ,Vasudev ‘Nirmal’,SINDHI (Since 1959),Plays
1096,2006,Dharti-A-Jo-Sad ,Kirat Babani,SINDHI (Since 1959),Plays
1097,2005,Andhero Roshan Thiye ,Dholan ‘Rahi’,SINDHI (Since 1959),Poetry
1098,2004,Kavita Khan Kavita Tain ,Satish Rohra,SINDHI (Since 1959),Criticism
1099,2003,Tahqiq Ain Tanqeed ,Hiro Thakur,SINDHI (Since 1959),Essays
1100,2002,Udamandarh Arman ,Hari Himthani,SINDHI (Since 1959),Short Stories
1101,2001,Bhagat ,Prem Prakash,SINDHI (Since 1959),Poetry
1102,2000,Taka Tora ,Param A. Abichandani,SINDHI (Since 1959),Criticism
1103,1999,Barf Jo Thahiyal ,Vasdev Mohi,SINDHI (Since 1959),Poetry
1104,1998,Zaizalo ,Shyam Jaisinghani,SINDHI (Since 1959),Plays
1105,1997,Tandana ,Ishwar Anchal,SINDHI (Since 1959),Andheri Raat Mein
1106,1996,Gufa Je Hun Paar ,Lakhmi Khilani,SINDHI (Since 1959),Short Stories
1107,1995,Ajho ,Hari Motwani,SINDHI (Since 1959),Novel
1108,1994,Aarsi-A-Aado ,Kala Prakash,SINDHI (Since 1959),Novel
1109,1993,Hathayogi ,Tara Mirchandani,SINDHI (Since 1959),Novel
1110,1991,Soche Joon Sooratoon ,Harikant Jethwani,SINDHI (Since 1959),Poetry
1111,1990,Shishe-Ja-Ghar ,Goverdhan Mahboobani,SINDHI (Since 1959),Poetry
1112,1989,Bahi Ja Warisa ,M. Kamal,SINDHI (Since 1959),Poetry
1113,1988,Se Sab Sandhyam Saah Sen ,Moti Prakash,SINDHI (Since 1959),Travelogue
1114,1987,Chaliha-Chorasi ,Harish Vaswani,SINDHI (Since 1959),Literary Criticism
1115,1986,Vichoro ,Sundri A. Uttamchandani,SINDHI (Since 1959),Short Stories
1116,1985,Mero Sij ,Arjan ‘Hasid’,SINDHI (Since 1959),Poetry
1117,1984,Uha Shaam ,Mohan Kalpana,SINDHI (Since 1959),Short Stories
1118,1983,Andho Doonhon ,Arjan Mirchandani ‘Shad’,SINDHI (Since 1959),Poetry
1119,1982,Munhinji Hayati-a-Ja Sona Ropa Warq ,Popati R. Hiranandani,SINDHI (Since 1959),Autobiography
1120,1981,Surkh Gulaab-Suraha Khwaab ,Prabhu ‘Wafa’,SINDHI (Since 1959),Poetry
1121,1980,Yad Hika Pyar Ji ,Krishin Khatwani,SINDHI (Since 1959),Novel
1122,1979,Pal Pal Jo Parlao ,Hari Daryani ‘Dilgir’,SINDHI (Since 1959),Poetry
1123,1978,Cheekh ,H.I. Sadarangani,SINDHI (Since 1959),Poetry
1124,1976,Jee-a-Jharoko ,Laxman Bhatia ‘Komal’,SINDHI (Since 1959),Poetry
1125,1974,Hunaje Atam Jo Maut ,Lal Pushp,SINDHI (Since 1959),Novel
1126,1973,Pyar Ji Pyas ,Gobind Malhi,SINDHI (Since 1959),Novel
1127,1972,Aparajita ,Guno Samtaney,SINDHI (Since 1959),Short Stories
1128,1971,Kumach ,Krishin Rahi,SINDHI (Since 1959),Poetry
1129,1970,Wari-a-Bharyo Palaand ,Narayan ‘Shyam’,SINDHI (Since 1959),Poetry
1130,1969,Sindhi Nasr Ji Tarikh ,M.U. Malkani,SINDHI (Since 1959),History of Sindhi Prose
1131,1968,Shah Jo Rasalo ,Kalyan B. Advani,SINDHI (Since 1959),Mujamil
1132,1966,Surahi ,Lekhraj Kishinchand ‘Aziz’,SINDHI (Since 1959),Poetry
1133,1964,Anokha Azmooda ,Ram Panjwani,SINDHI (Since 1959),Reminiscences
1134,1959,Kanwar ,Tirth Basant,SINDHI (Since 1959),Biography
1135,2023,Neervazhi Paduvum ,Rajasekaran Devibharathi,TAMIL,Novel
1136,2022,Kaala Paani ,M. Rajendran,TAMIL,Novel
1137,2021,Civappuk Kazuttu Tan Oru Paccaip Paravai ,Ambai,TAMIL,Short Stories
1138,2020,Sellaatha Panam ,Imaiyam,TAMIL,Novel
1139,2019,Sool ,Cho. Dharman,TAMIL,Novel
1140,2018,Sanchaaram ,S. Ramakrishnan,TAMIL,Novel
1141,2017,Kaandhal Naatkal ,Late Inqulab,TAMIL,Poetry
1142,2016,Oru Siru Isai ,Vannadhasan,TAMIL,Short Stories
1143,2015,Ilakkiya Suvadugal ,A. Madhavan,TAMIL,Essays
1144,2014,Agngnaadi ,Poomani,TAMIL,Novel
1145,2013,Korkai ,R.N. Joe D’ Cruz,TAMIL,Novel
1146,2012,Thol ,D. Selvaraj,TAMIL,Novel
1147,2011,Kaval Kottam ,S. Venkatesan,TAMIL,Novel
1148,2010,Soodiya Poo Soodarka ,Nanjil Nadan,TAMIL,Short Stories
1149,2009,Kaiyappam ,Puviyarasu,TAMIL,Poetry
1150,2008,Minsarapoo ,Melanmai Ponnusamy,TAMIL,Short Stories
1151,2007,Ilai Uthir Kaalam ,Neela Padmanabhan,TAMIL,Novel
1152,2006,Akayathukku Aduthaveedu ,Mu Metha,TAMIL,Poetry
1153,2005,Kalmaram ,G. Thilakavathi,TAMIL,Novel
1154,2004,Vanakkam Valluva ,Tamilanban,TAMIL,Poetry
1155,2003,Kallikattu Ithikasam ,R. Vairamuthu,TAMIL,Novel
1156,2002,Oru Giraamattu Nadi ,Sirpi Balasubramaniam,TAMIL,Poems
1157,2001,Sutanthira Daagam ,C.S. Chellappa,TAMIL,Novel
1158,2000,Vimarsanangal Mathi Puraikal Pettikal ,Thi.Ka. Sivasankaran,TAMIL,3 Parts
1159,1999,Aalapanai ,S. Abdul Rahman,TAMIL,Poetry
1160,1998,Visaranai Commission ,Sa. Kandasamy,TAMIL,Novel
1161,1997,Chaivu Narkali ,Thoppil Mohamed Miran,TAMIL,Novel
1162,1996,Appavin Snehidar ,Ashokamitran,TAMIL,Short Stories
1163,1995,Vaanam Vasappadum ,Prapanchan,TAMIL,Novel
1164,1994,Pudhiya Dharisanangal ,Ponneelan Kandeswara Bhaktavalsalan,TAMIL,Novel
1165,1993,Kathukal ,M.V. Venkataram,TAMIL,Novel
1166,1992,Kutralakurinji ,Kove. Manisekaran,TAMIL,Historic Novel
1167,1991,Gopallapurarthu Makkal ,Ki. Rajanarayanan,TAMIL,Novel
1168,1990,Veril Pazhutha Pala ,Su. Samuthiram,TAMIL,Novel
1169,1989,Chintanadi ,L.S. Ramamirtham,TAMIL,Autobiographical Essays
1170,1988,Vazhum Valluvam ,V.C. Kulandaiswamy,TAMIL,Literary Criticism
1171,1987,Mudalil Iravu Varum ,Aadhavan Sundaram,TAMIL,Short Stories
1172,1986,Ilakkiyathukku Oru lyakkam ,Ka. Naa. Subramanyam,TAMIL,Literary Criticism
1173,1985,Kamban: Putiya Parvai ,A.S. Gnanasambandan,TAMIL,Literary Criticism
1174,1984,Oru Kaveriyai Pola ,Thirupurasundari ‘Lakshmi’,TAMIL,Novel
1175,1983,Bharathi: Kalamum Karuthum ,T.M.C. Raghunathan,TAMIL,Literary Criticism
1176,1982,Manikkodikalam ,B.S. Ramaiya,TAMIL,Literary History
1177,1981,Puthiya Urai Nadai ,M. Ramalingam,TAMIL,Literary Criticism
1178,1980,Cheraman Kadali ,Kannadasan,TAMIL,Novel
1179,1979,Sakthi-Vaithiyam ,T. Janakiraman,TAMIL,Short Stories
1180,1978,Pudukavkhaiyin Thottramum Valarchiyum ,Vallikannan,TAMIL,Literary Criticism
1181,1977,Kuruthi-P-Punal ,Indira Parthasarathi,TAMIL,Novel
1182,1975,Tharkkala Tamizh Illakkiyam ,R. Dhandayudham,TAMIL,Literary Criticism
1183,1974,Thirukkural Nedhi Illakkiyam ,K.D. Thirunavukkarasu,TAMIL,Literary Criticism
1184,1973,Verukku Neer ,Rajam Krishnan,TAMIL,Novel
1185,1972,Sila Nerangalil Sila Manithargal ,D. Jayakanthan,TAMIL,Novel
1186,1971,Samudaya Veedhi ,Naa. Parthasarathy,TAMIL,Novel
1187,1970,Anbalippu ,G. Alagirisami,TAMIL,Short Stories
1188,1969,Pisirantaiyar ,Bharatidasan,TAMIL,Play
1189,1968,Vellai Paravai ,A. Srinivasa Raghavan,TAMIL,Poetry
1190,1967,Virar Ulagam ,K.V. Jagannathan,TAMIL,Literary Criticism
1191,1966,Vallalar Kanda Orumaippadu ,M.P. Sivagnanam,TAMIL,Biography
1192,1965,Sri Ramanujar ,P. Sri Acharya,TAMIL,Biography
1193,1963,Vengaiyin Maindhan ,‘Akilon’ P. V. Akilandam,TAMIL,Novel
1194,1962,Akkarai Cheemaiyil ,Somu Mi. Pa. Somasundaram,TAMIL,Travelogue
1195,1961,Agal Vilakku ,Mu. Varadarajan,TAMIL,Novel
1196,1958,Chakravarti Tirumagan ,C. Rajagopalachari,TAMIL,Ramayana retold in Prose
1197,1956,Alai Osai ,R. Krishnamurti Kalki,TAMIL,Novel
1198,1955,Tamil Inbam ,R.P. Sethu Pillai,TAMIL,Essays
1199,2023,Rameshwaram Kaakulu Marikonni Kathalu ,T. Patanjali Sastry,TELUGU,Short Stories
1200,2022,Manodharmaparagam ,Madhuranthakam Narendra,TELUGU,Novel
1201,2021,Vallankitaalam ,Gorati Venkanna,TELUGU,Poetry
1202,2020,Agniswaasa ,Nikhileswar,TELUGU,2015-2017
1203,2019,Septabhoomi ,Bandi Narayana Swamy,TELUGU,Novel
1204,2018,Vimarshini ,Kolakaluri Enoch,TELUGU,Essays
1205,2017,Gaali Rangu ,Devipriya,TELUGU,Poetry
1206,2016,Rajanigandha ,Papineni Sivasankar,TELUGU,Poetry
1207,2015,Vimuktha ,Volga,TELUGU,Short Stories
1208,2014,Mana Navalalu-Mana Kathanikalu ,Rachapalem Chandrashekara Reddy,TELUGU,Literary Criticism
1209,2013,Sahityaakashmlo Sagam ,Katyayani Vidmahe,TELUGU,Essays
1210,2012,Peddibhotla Subbaramaiah Kathalu - Vol-1 ,Peddibhotla Subbaramaiah,TELUGU,Short Stories
1211,2011,Swaralayalu ,Samala Sadasiva,TELUGU,Essays
1212,2010,Kaluthunna Poolathota ,Syed Saleem,TELUGU,Novel
1213,2009,Draupadi ,Yarlagadda Lakshmi Prasad,TELUGU,Novel
1214,2008,Purushothamudu ,Chitiprolu Krishna Murthy,TELUGU,Novel
1215,2007,Satapatramu ,late Gadiyaram Ramakrishna Sarma,TELUGU,Autobiography
1216,2006,Astivanadam Aavali Teerana ,Munipalle B. Raju,TELUGU,Short Stories
1217,2005,Tana Margam ,Abburi Chayadevi,TELUGU,Short Stories
1218,2004,Kalarekhalu ,Naveen,TELUGU,Novel
1219,2003,Sri Krishna Chandrodayamu ,Utpala Satyanarayanacharya,TELUGU,Poetry
1220,2002,Smrti Kinankam ,Chekuri Rama Rao,TELUGU,Essays
1221,2001,Hampi Nunchi Harappa Daka ,Tirumala Ramachandra,TELUGU,Autobiography
1222,2000,Kalanni Nidra Ponivvanu ,N. Gopi,TELUGU,Poetry
1223,1999,Katha Silpam ,Vallampati Venkata Subbaiah,TELUGU,Essays
1224,1998,Balivada Kantha Rao Kathalu ,Balivada Kantha Rao,TELUGU,Short Stories
1225,1997,Swapna Lipi ,Ajanta P.V. Shastri,TELUGU,Poetry
1226,1996,Kethu Vishwanatha Reddy Kathalu ,Ketu Viswanatha Reddy,TELUGU,Short Stories
1227,1995,Yajnam To Tommidi ,Kalipatnam Rama Rao,TELUGU,Short Stories
1228,1994,Kala Rekha ,Gunturu Seshendra Sharma,TELUGU,Criticism
1229,1993,Madhuranthakam Rajaram Kathalu ,Madhuranthakam Rajaram,TELUGU,Short Stories
1230,1992,Hrudaya Netri ,Malati Chendur,TELUGU,Novel
1231,1991,"Itlu, Mee Vidheyudu ",Bhamidipati Ramagopalam,TELUGU,Short Stories
1232,1990,Mohana-O-Mohana ,K. Siva Reddy,TELUGU,Poetry
1233,1989,Mani Pravalamu ,S.V. Joga Rao,TELUGU,Essays
1234,1988,Anuvaada Samasyalu ,Rachamallu Ramachandra Reddi,TELUGU,Criticism
1235,1987,Gurazada Gurupeetham ,Arudra,TELUGU,Essays
1236,1986,Andhra Sahitya Vimarsa Angla Prabhavam ,G.S. Subrahmanyam,TELUGU,Literary Criticism
1237,1985,Gaalivana ,P. Padmaraju,TELUGU,Short Stories
1238,1984,Aagama Geeti ,Aluri Bairagi,TELUGU,Poetry
1239,1983,Jeevana Samaram ,R. Bharadwaja,TELUGU,Sketches
1240,1982,Swarna Kamalaalu ,I. Saraswati Devi,TELUGU,Short Stories
1241,1981,Seeta Josyam ,V.R. Narla,TELUGU,Play
1242,1979,Janapriya Ramayanam ,P. Narayanacharya,TELUGU,Poetry
1243,1978,Collected Works of Krishna Sastri ,D.V. Krishna Sastri,TELUGU,6 Vols.
1244,1977,Kundurti Kritulu ,Kundurti Anjaneyulu,TELUGU,Poetry
1245,1975,Gudiselu Kalipotunnai ,Boyi Bhimanna,TELUGU,Poetry
1246,1974,Thimiram Tho Samaram ,Dasarathi,TELUGU,Poetry
1247,1973,Mantalu Manavudu ,C. Narayana Reddy,TELUGU,Poetry
1248,1972,Sri Sri Sahityamu ,‘Sri Sri’,TELUGU,Poetry
1249,1971,Vijayavilasamu: Hridayollasavyakhya ,Thapi Dharma Rao,TELUGU,Commentary
1250,1970,Amrutham Kurisina Rathri ,D. Balagangadhar Tilak,TELUGU,Poetry
1251,1969,Mahatama Katha ,Thummala Seetharamamurthy,TELUGU,Poetry
1252,1965,Misra Manjari ,Rayaprolu Subbarao,TELUGU,Poetry
1253,1964,Kreestu Charitra ,G. Joshua,TELUGU,Poetry
1254,1963,Panditha Parameshwara Sastry Veelunama ,T. Gopichand,TELUGU,Novel
1255,1962,Viswanadha Madhyakkaralu ,Vishwanadha Satyanarayana,TELUGU,Poetry
1256,1961,Andhra Vaggeyakara Charitramu ,Balanthrapu Rajanikantha Rao,TELUGU,A History of Telugu Composers and Song Writers
1257,1960,Natyasastramu ,Ponangi Srirama Apparavu,TELUGU,A History of Bharata’s Natyasastra
1258,1957,Sri Ramakrishnuni Jivita Charitra ,Chirantanananda Swami,TELUGU,Biography
1259,1956,Bharariya Tatva Sastramu ,Bulusu Venkateswaralu,TELUGU,Translation of Dr. Radhakrishnan’s History of Indian Philosophy
1260,1955,Andhrula Sanghike Charitamu ,Suravaram Pratap Reddy,TELUGU,Social history
1261,2023,Rajdev Ki Amrai ,Sadiqua Nawab Saher,URDU,Novel
1262,2022,Khwab Saraab ,Anis Ashfaq,URDU,Novel
1263,2021,Taza Hawa Ki Tabishen ,Chander Bhan Khayal,URDU,Poetry
1264,2020,Amawas Main Khwab ,HussainulHaque,URDU,Novel
1265,2019,Sawaneh-E-Sir Syed: Ek Bazdeed ,Shafey Kidwai,URDU,Biography
1266,2018,Rohzin ,Rahman Abbas,URDU,Novel
1267,2017,Dakhma ,Baig Ehsas,URDU,Short Stories
1268,2016,Mabad-e-Jadidiat Se Naye Ahed Ki Takhliqiyat Tak ,Nizam Siddiqui,URDU,Criticism
1269,2015,Tasawwuf Aur Bhakti ,Shamim Tariq,URDU,Tanqeedi Aur Taqabuli Mutalea
1270,2014,Shahdaba ,Munawwar Rana,URDU,Poetry
1271,2013,Lava ,Javed Akhtar,URDU,Poetry
1272,2012,Ghurfa-i-Ghaib ,Krishna Kumar Toor,URDU,Poetry
1273,2011,Aafaaq Ki Taraf ,Khaleel Mamoon,URDU,Poetry
1274,2010,Gumshuda Dair Ki Gunjati Ghantiyan ,Sheen Kaaf Nizam,URDU,Poetry
1275,2009,Ma-assirTanqidi Rawayye ,Abul Kalam Qasmi,URDU,Criticism
1276,2008,Pencil Aur Doosn Nazmein ,Jayant Parmar,URDU,Poetry
1277,2007,Tareekh-e-Adab-e-Urdu ,Wahab Ashrafi,URDU,Criticism
1278,2006,Rasta Aur Main ,Makhmoor Saeedi,URDU,Poetry
1279,2005,Ret Per Khema ,Jabir Husain,URDU,Memoirs
1280,2004,Shikasta Buton Ke Darmiyan ,Salam Bin Razzak,URDU,Short Stories
1281,2003,Badd-E-Saba Ka Intizar ,Syed Muhammad Ashraf,URDU,Short Stories
1282,2002,Dhuan ,Gulzar,URDU,Short Stories
1283,2001,Taoos Chaman Ki Maina ,Naiyer Masud,URDU,Short Stories
1284,2000,Sookhi Tahni Par Hariyal ,Mohd. Idrees Ambar Bahraichi,URDU,Poetry
1285,1999,Aas ,Bashir Badr,URDU,Poetry
1286,1998,Khoya Hua Sa Kuchh ,Nida Fazli,URDU,Poetry
1287,1997,Gian Singh Shatir ,Gian Singh Shatir,URDU,Novel
1288,1996,Fire Area ,Ilyas Ahmad Gaddi,URDU,Novel
1289,1995,"Sakhtiyat, Pas-Sakhtiyat Aur Mashriqi Sheriyat ",Gopi Chand Narang,URDU,Literary Criticism
1290,1994,Pichhle Mausam Ka Phool ,Mazhar Imam,URDU,Poetry
1291,1993,Pakheru ,Ram Lall,URDU,Short Stories
1292,1992,Chautha Aasmaan ,Mohammed Alvi,URDU,Poetry
1293,1991,Identity Card ,Salahuddin Pervez,URDU,Novel
1294,1990,Do Gaz Zameen ,Abdus Samad,URDU,Novel
1295,1989,Baaz Goyi ,Surendra Prakash,URDU,Short Stories
1296,1988,Aatish-e-Chinar ,Sheikh Muhammad Abdullah,URDU,Autobiography
1297,1987,Khwab Ka Dar Band Hai ,A.M.K. Shahryar,URDU,Poetry
1298,1986,Tanquidi Afkar ,Shamsur Rahman Faruqi,URDU,Literary Criticism
1299,1985,Parindon Bhara Asmaan ,Balraj Komal,URDU,Poetry
1300,1984,Iqbal Ki Nazari-o-Amali Sheriyat ,Masud Husain Khan,URDU,Criticism
1301,1983,Tazkirah-e-Muasirin ,Malik Ram,URDU,4th Play
1302,1982,Zikr-O-Fikr ,Gian Chand Jain,URDU,Literary Criticism
1303,1980,Iqbal Ki Terah Nazmen ,A.A. Ansari,URDU,Literary Criticism
1304,1979,Nawa-e-Awara ,Gulam Rabbani Taban,URDU,Poetry
1305,1978,Hafiz aur Iqbal ,Yusuf Husain Khan,URDU,Criticism
1306,1976,Khak-e-Dil ,Jan Nisar Akhtar,URDU,Poetry
1307,1975,Awara Sajde ,Kaifi Azmi,URDU,Poetry
1308,1974,Nazar aur Nazariya ,Ale Ahmed Suroor,URDU,Literary Criticism
1309,1971,Ghalib Ki Shakhsiyat aur Shairi ,Rasheed Ahmad Siddiqui,URDU,Literary Criticism
1310,1970,Lahoo Ke Phool ,Hayatullah Ansari,URDU,Novel
1311,1969,Bisat-Raqs ,Makhdum Mohiuddin,URDU,Poetry
1312,1967,Patjhar Ki Awaz ,Qurratulain Hyder,URDU,Short Stories
1313,1965,Ek Chadar Maili Si ,Rajinder Singh Bedi,URDU,Novelette
1314,1964,Meri Hadis-e-Umr-e-Gurezan ,Anand Narain Mulla,URDU,Poetry
1315,1963,Aandhi Mein Chiragh ,K.G. Saiyidain,URDU,Sketches
1316,1962,Yadein ,AktharulIman,URDU,Poetry
1317,1961,Diwan-i-Ghalib ,Imtiaz Ali ‘Arshi’,URDU,A critical edition of Ghalib’s Poetry
1318,1960,Gul-i-Naghma ,‘Firaq Gorakhpuri’ Raghupati Sahay,URDU,Poetry
1319,1959,Urdu Drama aur Stage ,Syed Masud Hasan Rizvi,URDU,History of Urdu drama and stage
1320,1958,Atish-i-Gul ,‘Jigar Muradabadi’ Ali Sikandar,URDU,Poetry
1321,1957,Mir Taqi Mir ,K.A. Faruqui,URDU,Literary Criticism
1322,1956,Qaumi Tehzib Ka Masala ,S. Abid Hussain,URDU,A survey of Indian culture
1323,1955,Maal aur Mashiyat ,Zafar Hussain Khan,URDU,Philosophical Treatise
